Publisher,country,long,lat,Project,Role,NumberofProject,Link,OrgType,BGColor
Chillingo,UK,0.127,51.51,Rescue Quest,Tutorial Funnel Data Analyst,-,http://rescuequest.boomzap.com/gold/,Publisher,#000000
Boomzap,Singapore,103.81,1.3521,Super Awesome Quest,IAP Designer / Data Analyst,-,http://www.boomzap.com/home-slideshow/super-awesome-quest/,Publisher,#000000
Game House,Netherlands,5.29,52.13,Cathy's Crafts,Additional Designer,-,http://www.boomzap.com/pc/cathys-crafts-pc/,Publisher
Gravity,South Korea,126.97,37.5665,Magic Puzzle Island,Level Progression Data Analyst,-,http://magic.gnjoy.com/,Publisher
Big Fish Games,USA,-122.33,47.6062,Antique Road Trip,Lead Designer,-,http://www.boomzap.com/pc/antique-road-trip-american-dreamin-pc/,Publisher
505 Games,USA,-118.24,34.0522,Pocket Ages,Designer,-,http://www.boomzap.com/ipad/pocket-ages-ipad/,Publisher
iWin,USA,-122.41,37.7749,Jewel Quest,Additional Designer,-,http://www.boomzap.com/ipad/jewel-quest-seven-seas-ipad/,Publisher
Internet Bar Organization,USA,-95.3698,29.76,Carry On,Front-End Designer,-,https://carryon.online/,Organization
Philippine Embasy, Indonesia,106.865,-6.1751,Embassy Website,Front-End Designer,-,http://clariz.tech/404.html,Organization
GXS Inc (now OpenText),Philippines,120.9842,14.5995,Software Engineer,Financial Services,-,http://www.gxs.com/,Employer
